parent_image_id,parent_filename,child_cropped_id,child_filename,display_title,corpus_layer,source_type,Author,motif_specific,motif_group,object_type,place_of_origin,iconclass_code,year,Link
ARC_VAS_004,Stirrup jar with decoration in the Special Palatial Tradition_heraklionmuseum,ARC_VAS_004_CROP_01,ARC_VAS_004_spiral_01.jpg,Spiral group motif — Stirrup jar with decoration in the Special Palatial Tradition,archaeological,Heraklion Archaeological Museum,unknown,spiral_group,geometric,jar,Zakros,48A98133,-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/116
ARC_VAS_025,Ovoid rhyton_knoss_heraklionmuseum,ARC_VAS_025_CROP_01,ARC_VAS_025_spiral_01.jpg,"Spiral motif — Ovoid rhyton, Knossos",archaeological,Heraklion Archaeological Museum,unknown,spiral,geometric,rhyton,Knossos,48A98133,-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/810
BOOK_010,The prehistoric tombs of Knossos-077,BOOK_010_CROP_02,BOOK_010_spiral_02.jpg,"Spiral motif — The Prehistoric Tombs of Knossos, p. 77",publication,"The prehistoric tombs of Knossos, A. Evans",,spiral,geometric,book_illustration,Knossos,48A98133,1906,https://archive.org/details/prehistorictombs00evan/page/67/mode/1up
BOOK_011,The prehistoric tombs of Knossos-079,BOOK_011_CROP_01,BOOK_011_spiral_01.jpg,"Spiral motif — The Prehistoric Tombs of Knossos, p. 79",publication,"The prehistoric tombs of Knossos, A. Evans",,spiral,geometric,book_illustration,Knossos,48A98133,1906,https://archive.org/details/prehistorictombs00evan/page/69/mode/1up
ARC_VAS_003,Pyxis-shaped vessel_heraklionmuseum,ARC_VAS_003_CROP_02,ARC_VAS_003_vegetal_02.jpg,Heart-shaped leaf motif — Pyxis-shaped vessel,archaeological,Heraklion Archaeological Museum,unknown,heart_shaped_leaf,vegetal,vessel,Pseira,25G4,-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/279
BOOK_043,"Fig. 6а Frammento di vaso da Micene (Springer, Ricci 1904 tav. IV, 1). Caloi 6a.png",BOOK_043_CROP_02,BOOK_043_vegetal_02.jpg,"Heart-shaped leaf motif — Fragment of a Mycenaean vessel (Springer and Ricci 1904, pl. IV.1)",publication,"Springer / Ricci / I.Caloi, Modernità MinoicaL'Arte Egea e l'Art Nouveau: il Caso di Mariano Fortuny y Madrazo",,heart_shaped_leaf,vegetal,book_illustration,Mycenae,25G4,1904,Copyright restricted. https://books.fupress.com/catalogue/modernit-minoicalarte-egea-e-lart-nouveau-il-caso-di-mariano-fortuny-y-madrazo/2161
BOOK_028,"Archaeology Of Crete Introduction by Pendlebury, J.d.s-237.tiff",BOOK_028_CROP_02,BOOK_028_argonaut_02.jpg,"Argonaut motif — J. D. S. Pendlebury, Archaeology of Crete: An Introduction, p. 237",publication,"Archaeology Of Crete. Introduction, J.d.s. Pendlebury ",,argonaut,marine,book_illustration,Crete,25F72(NAUTILUS),1939,https://archive.org/details/in.ernet.dli.2015.529784/page/n237/mode/1up
BOOK_019,The prehistoric tombs of Knossos-187,BOOK_019_CROP_01,BOOK_019_octopus_01.jpg,"Octopus motif — The Prehistoric Tombs of Knossos, p. 187",publication,"The prehistoric tombs of Knossos, A. Evans",,octopus,marine,book_illustration,Knossos,25F72(OCTOPUS),1906,https://archive.org/details/prehistorictombs00evan/page/n186/mode/1up
BOOK_014,The prehistoric tombs of Knossos-108,BOOK_014_CROP_01,BOOK_014_octopus_01.jpg,"Octopus motif — The Prehistoric Tombs of Knossos, p. 108",publication,"The prehistoric tombs of Knossos, A. Evans",,octopus,marine,book_illustration,Knossos,25F72(OCTOPUS),1906,https://archive.org/details/prehistorictombs00evan/page/96/mode/1up
BOOK_022,"Figura 1.Vaso piriforme con motivi marini da Haghia Triada (Mosso 1907 116, fig. 62).jpg",BOOK_022_CROP_01,BOOK_022_argonaut_01.jpg,"Murex shell motif — Piriform vessel with marine motifs from Haghia Triada (Mosso 1907, fig. 62)",publication,"Escursioni nel Mediterraneo e gli scavi di Creta, Mosso, A.1907.",,murex_shell,marine,book_illustration,,25F72(MUREX),1907,https://archive.org/details/escursioninelmed00mossuoft/page/116/mode/1up
BOOK_028,"Archaeology Of Crete Introduction by Pendlebury, J.d.s-237.tiff",BOOK_028_CROP_01,BOOK_028_murex_shell_01.jpg,"Murex shell motif — J. D. S. Pendlebury, Archaeology of Crete: An Introduction, p. 237",publication,"Archaeology Of Crete. Introduction, J.d.s. Pendlebury ",,murex_shell,marine,book_illustration,Crete,25F72(MUREX),1939,https://archive.org/details/in.ernet.dli.2015.529784/page/n237/mode/1up
BOOK_030,"Archaeology Of Crete Introduction by Pendlebury, J.d.s-277.tiff",BOOK_030_CROP_01,BOOK_030_octopus_01.jpg,"Octopus motif — J. D. S. Pendlebury, Archaeology of Crete: An Introduction, p. 277",publication,"Archaeology Of Crete. Introduction, J.d.s. Pendlebury ",,octopus,marine,book_illustration,Crete,25F72(OCTOPUS),1939,https://archive.org/details/in.ernet.dli.2015.529784/page/n277/mode/1up
BOOK_036,"Evans, Arthur J__ The Palace of Minos_shells",BOOK_036_CROP_01,BOOK_036_argonaut_01.jpg,"Argonaut motif — Illustration reproduced in Evans, The Palace of Minos",publication,"Arthur Evans, Place of Minos at Knossos vol.1",,argonaut,marine,book_illustration,Knossos,25F72(NAUTILUS),1935,"https://digi.ub.uni-heidelberg.de/diglit/evans1935/0172/image,info"
BOOK_049,"Fig. 6b Alabastron minoico dall'Egitto dal libro di Perrot e Chipiez posseduto da Fortuny (Perrot, Chipiez 1894 925, fig. 476).png",BOOK_049_CROP_01,BOOK_049_argonaut_01.jpg,"Argonaut motif — Minoan alabastron from Egypt (Perrot and Chipiez 1894, fig. 476)",publication,"Histoire de l’art dans l’antiquité, vol. VI: La Grèce primitive: l’art
Mycénien, Perrot, G., Chipiez, C. 1894. ",,argonaut,marine,book_illustration,,25F72(NAUTILUS),1894,https://archive.org/details/historyofartinpr02perr_1/page/387/mode/1up
FOR_DRESS_001,"caftan 1920-1929 Mariano Fortuny y Madrazo (Spanish, 1871–1949) 2003.15.jpg",FOR_DRESS_001_CROP_01,FOR_DRESS_001_argonaut_01.jpg,"Argonaut motif — Caftan by Mariano Fortuny, 1920–1929",reception,Indianapolis Museum of Art Collection,Mariano Fortuny,argonaut,marine,caftan,Venice,25F72(NAUTILUS),1925,https://collections.discovernewfields.org/art/artwork/63765
FOR_DRESS_005,"Ensemble dress, wrap, and belt, Delphos ca. 1920 Mariano Fortuny y Madrazo Accession Number 1986.96.2a-c de Young Museum.jpeg",FOR_DRESS_005_CROP_01,FOR_DRESS_005_aurgonat_01.jpg,"Argonaut motif — Delphos ensemble by Mariano Fortuny, ca. 1920",reception,de Young Museum,Mariano Fortuny,argonaut,marine,dress,Venice,25F72(NAUTILUS),1920,https://www.famsf.org/artworks/ensemble-dress-wrap-and-belt-delphos
FOR_DRESS_006,Tunica 48 (Caloi).png,FOR_DRESS_006_CROP_02,FOR_DRESS_006_murex_shell_02.jpg,Murex shell motif — Tunic no. 48 (Caloi),reception,"I.Caloi, Modernità MinoicaL'Arte Egea e l'Art Nouveau: il Caso di Mariano Fortuny y Madrazo",Mariano Fortuny,murex_shell,marine,tunica,Venice,25F72(MUREX),1920,Copyright restricted. https://books.fupress.com/catalogue/modernit-minoicalarte-egea-e-lart-nouveau-il-caso-di-mariano-fortuny-y-madrazo/2161
ARC_VAS_005,Stirrup jar_knoss_heraklionmuseum,ARC_VAS_005_CROP_01,ARC_VAS_005_octopus_01.jpg,"Octopus motif — Stirrup jar, Knossos",archaeological,Heraklion Archaeological Museum,unknown,octopus,marine,jar,Knossos,25F72(OCTOPUS),-1300,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/1019
ARC_VAS_006,"Terracotta stirrup jar with octopus Helladic, Mycenaean ca. 1200–1100 BCE ",ARC_VAS_006_CROP_01,ARC_VAS_006_octopus_01.jpg,"Octopus motif — Terracotta stirrup jar with octopus Helladic, Mycenaean ca. 1200–1100 BCE",archaeological,Metropolitan Museum of Art,unknown,octopus,marine,jar,"Helladic, Mycenaean",25F72(OCTOPUS),-1150,https://www.metmuseum.org/art/collection/search/254779
